Country,Year,Young Age Dependency Ratio,Retirement Age Dependency Ratio,SDG Region,Population,Male Population Ratio,Urban Population Ratio,Total Area (sq km),GDP_per_Capita,Life Expectancy,Infant mortality per 1000 live births,BMI,BMI Female,BMI Male
Greece,2016,22.474776647905,32.7498517036008,Europe and Northern America,10775971,49.0617914364828,78.387,131960.0,17923.9668134716,81.3878048780488,3.6377,27.1,26.7,27.5
Grenada,2016,35.8717359828249,13.8698886614409,Latin America and the Caribbean,119966,50.2292316156244,36.072,340.0,8849.51353500776,74.762,12.4049,27.0,28.8,25.2
Guatemala,2016,59.4654395379808,7.49111430492741,Latin America and the Caribbean,15827690,49.5321712523059,50.319,108890.0,4173.28134863663,72.355,22.3343,26.6,27.3,25.7
Guinea,2016,80.6180758236893,6.43557231495917,Sub-Saharan Africa,11930985,49.1727380430032,35.46,245860.0,720.473255172646,58.763,75.0383,22.9,23.4,22.4
Guinea-Bissau,2016,77.4898305809066,4.83441214148636,Sub-Saharan Africa,1834552,49.2320740976544,42.533,36130.0,678.680279492738,59.674,60.551,23.4,24.0,22.8
Guyana,2016,46.2033734664904,8.41268645012007,Latin America and the Caribbean,759087,49.0601209084071,26.482,214970.0,5905.38019563205,68.384,26.4184,26.4,27.7,25.1
Haiti,2016,54.5958707270572,6.72653376630299,Latin America and the Caribbean,10713849,49.6471902861427,53.396,27750.0,1313.18609457981,63.392,52.6985,25.3,24.2,26.5
Honduras,2016,53.2863271157926,5.783341869015,Latin America and the Caribbean,9460798,50.552131014741,55.813,112490.0,2295.53627000423,72.588,16.4869,26.8,27.6,25.9
Hungary,2016,21.6429161111018,27.5655693215698,Europe and Northern America,9814023,47.7046295179348,70.779,93030.0,13104.6995457458,76.0634146341464,3.9597,27.3,26.4,28.2
Iceland,2016,30.0154015203372,21.045141766041,Europe and Northern America,335439,50.4237729947121,93.735,103000.0,61987.9263620283,82.2048780487805,0.7359,26.2,25.5,27.0
India,2016,42.574193664501,8.83554041094142,Central and Southern Asia,1338636340,51.6662665081989,33.182,3287260.0,1714.27953738629,70.117,33.0146,21.8,21.9,21.7
Indonesia,2016,39.7436398626434,9.32397318032705,Eastern and South-Eastern Asia,261850182,50.3760616060981,53.989,1913580.0,3558.81885175737,69.798,21.882,23.1,23.8,22.5
Iran,2016,33.8806924843919,8.55074729536433,Central and Southern Asia,83306231,50.6572287491916,73.88,1745150.0,5497.24323254699,75.6,12.6292,26.1,27.0,25.2
Iraq,2016,70.2181265384299,5.49903625137862,Northern Africa and Western Asia,38697943,49.947843480983,70.094,435052.0,4308.84808910054,68.988,23.771,28.8,29.7,27.8
Ireland,2016,32.4082155397801,20.4601543234582,Europe and Northern America,4755335,49.490074617434,62.737,70280.0,62784.0656875694,81.6536585365854,3.0697,27.5,27.0,27.9
Israel,2016,46.5543758744486,18.2996233975395,Northern Africa and Western Asia,8546000,49.7167486884743,92.256,22070.0,37690.4739511859,82.4073170731707,2.9927,27.3,26.9,27.6
Italy,2016,21.1892979878346,34.7430139479918,Europe and Northern America,60627498,48.5481471249859,69.855,302069.0,30960.7315088902,83.2439024390244,2.8036,25.6,24.7,26.5
Jamaica,2016,32.2885969530287,9.04147277674572,Latin America and the Caribbean,2802695,49.6603804552404,55.098,10990.0,5022.70017844299,72.02,15.6674,27.8,29.6,25.8
Japan,2016,21.080990695125,46.9608333063349,Eastern and South-Eastern Asia,127076000,48.6561558642951,91.457,377970.0,39375.4731620781,83.9848780487805,1.9912,22.7,21.8,23.6
Jordan,2016,55.873069118056,5.13760545836143,Northern Africa and Western Asia,9964656,52.0424588666182,90.506,89320.0,4003.40474641177,75.215,14.5501,29.0,29.8,28.3
Kazakhstan,2016,42.1891842464796,10.948761255204,Central and Southern Asia,17794055,47.8704130800734,57.264,2724902.0,7714.84184376024,72.41,9.8666,26.4,26.4,26.3
Kenya,2016,72.9689079785444,4.54681326970571,Sub-Saharan Africa,47894670,49.6507294026663,26.105,580370.0,1562.07661862777,62.163,33.8464,23.3,24.5,22.1
Kiribati,2016,58.59282972325,5.6458653806178,Oceania,118513,48.6672348181212,52.45,810.0,1743.76286839846,66.332,46.0174,30.1,31.1,29.0
Kuwait,2016,28.4678403255865,3.37454623146576,Northern Africa and Western Asia,4048085,60.8388163786086,100.0,17820.0,27026.7729279269,79.701,7.7717,29.6,30.4,29.0
Kyrgyzstan,2016,52.0955650554505,6.16515239313529,Central and Southern Asia,6079500,49.0481945147624,35.944,199950.0,1120.66705800127,70.9512195121951,17.6894,26.6,27.2,25.9
Laos,2016,51.8242341644912,6.52942945820439,Eastern and South-Eastern Asia,6891363,50.4320117805433,33.736,236800.0,2309.04999818095,67.167,40.3944,22.9,23.1,22.7
Latvia,2016,23.5090926760049,31.3106932271672,Europe and Northern America,1959537,45.8987086744404,68.021,64594.0,14331.7515885049,74.580487804878,3.67,26.7,26.2,27.0
Lebanon,2016,38.2554594269296,11.3257759806008,Northern Africa and Western Asia,6258619,49.3919665025144,88.266,10450.0,8172.29947599133,79.505,11.3865,27.6,27.4,27.9
Lesotho,2016,57.4949238209046,6.83392826893286,Sub-Saharan Africa,2143872,49.2703855454057,27.317,30360.0,986.265249840927,52.264,62.7079,24.9,27.0,22.7
Liberia,2016,78.5378762194612,6.34200344216769,Sub-Saharan Africa,4706097,49.6600898791504,50.254,111370.0,722.131226789418,60.416,66.2141,24.1,25.1,23.1
Libya,2016,48.8355399029981,7.36890499674522,Northern Africa and Western Asia,6282196,50.7414763881929,79.54,1759540.0,7945.00421529319,71.756,11.2311,28.1,29.2,26.9
Lithuania,2016,22.243895000683,29.6189226652435,Europe and Northern America,2868231,46.4002975110041,67.366,65286.0,15008.3132445526,74.6707317073171,4.4428,26.4,25.8,27.0
Luxembourg,2016,23.5597507313234,20.4810152897328,Europe and Northern America,582014,50.2105936220217,90.46,2590.0,106899.293549552,82.6853658536585,3.7328,26.3,25.6,27.0
Madagascar,2016,73.0985601486818,5.24252821700738,Sub-Saharan Africa,25501941,50.1604368075356,35.856,587295.0,464.61615837171,64.997,45.2566,21.3,21.1,21.5
Malawi,2016,89.2081721858081,6.15127293918046,Sub-Saharan Africa,17405624,48.5422355440977,16.506,118480.0,454.443266065248,62.209,39.7622,22.9,23.2,22.6
